,0
0,758.40875
1,770.42847
2,705.0446
3,537.0327
4,568.57574
5,417.77338
6,411.0654
7,404.28452
8,445.14282
9,467.86957
10,469.75705
11,928.80206
12,961.00476
13,956.22253
14,2902.0002
15,2893.5876
16,2900.1013
17,5456.9204
18,5450.3926
19,6191.368
20,6206.1636
21,5637.4214
22,5645.787
23,5657.2393
24,4992.546
25,5003.3677
26,4893.052
27,4513.5146
28,4525.995
29,4781.0015
30,5033.8745
31,5003.2974
32,5453.7056
33,5853.105
34,6426.262
35,5973.012
36,4715.2734
37,3545.4136
38,3099.71
39,3073.8516
40,2481.4922
41,1676.9056
42,925.1425
43,655.2043
44,583.5914
45,603.18146
46,1011.8282
47,2745.224
48,5420.2754
49,6084.1567
50,5520.9624
51,5056.029
52,4690.483
53,4988.8125
54,5241.092
55,5254.1333
56,5563.912
57,5922.259
58,6299.059
59,5896.995
60,4730.371
61,3614.6255
62,3130.033
63,3054.048
64,2610.5037
65,1919.2919
66,1302.5554
67,773.2695
68,625.0453
69,433.709
70,482.53677
71,920.78455
72,1869.574
73,2574.6968
74,3447.9475
75,3810.138
76,3876.832
77,3882.8381
78,3898.092
79,4379.6733
80,4378.492
81,4364.3267
82,4549.6353
83,4572.3184
84,4666.363
85,4668.64
86,4600.3267
87,4610.6226
88,4696.886
89,4702.31
90,4717.3076
91,4729.582
92,4509.4995
93,4527.57
94,3968.7952
95,3968.7952
96,3973.8845
97,3376.981
98,3334.1394
99,3314.8296
100,2860.8472
101,2867.6758
102,2875.5
103,2937.7227
104,2945.241
105,2934.978
106,2909.7786
107,2874.5247
108,2840.1123
109,2122.0266
110,2047.7043
111,2035.9808
112,1307.7317
113,1305.7919
114,1314.4026
115,752.6015
116,751.95807
117,626.7911
118,564.2302
119,620.22473
120,333.12595
121,410.3807
122,405.83456
123,395.69562
124,607.261
125,615.8626
126,611.32935
127,1370.2981
128,1456.7747
129,1439.4053
130,1784.9725
131,1825.0426
132,1771.7295
133,2447.4011
134,2445.606
135,3040.0745
136,3028.4463
137,3395.9863
138,3381.3416
139,3380.115
140,3771.674
141,3772.611
142,3753.1462
143,3973.5454
144,3973.5454
145,3992.8281
146,4240.8633
147,4274.279
148,4274.568
149,4241.348
150,4242.306
151,4369.338
152,4373.4927
153,4360.8857
154,4280.119
155,3542.8816
156,3564.208
157,3170.14
158,3184.4897
159,2701.5034
160,2705.4307
161,2705.4307
162,2369.9094
163,2363.4624
164,1692.4326
165,1687.9312
166,1175.8285
167,492.26395
168,265.24725
169,270.39822
170,243.14601
171,232.90378
172,723.44037
173,2565.831
174,5326.257
175,6040.264
176,5483.7803
177,4732.3125
178,4346.75
179,4490.9346
180,4759.785
181,4716.724
182,5023.2354
183,5483.01
184,6078.027
185,5648.482
186,4294.4893
187,3077.4897
188,2628.635
189,2396.4495
190,1813.5121
191,1116.1239
192,1161.7352
193,744.8945
194,501.81726
195,390.42023
196,385.74075
197,461.50534
198,896.707
199,2816.6873
200,5459.131
201,6024.596
202,5477.6343
203,4850.135
204,4481.021
205,4709.342
206,4709.29
207,5001.626
208,5001.77
209,4908.139
210,5229.532
211,5653.1284
212,6259.1475
213,5839.016
214,4519.244
215,3255.5278
216,2918.441
217,2799.908
218,2207.952
219,1447.8257
220,763.987
221,482.89536
222,396.17795
223,417.18475
224,908.6544
225,2834.5447
226,5576.7754
227,6054.811
228,5729.986
229,4843.6133
230,4500.97
231,4776.925
232,5022.588
233,4977.2095
234,5278.7646
235,5591.378
236,6243.212
237,5884.8564
238,4580.15
239,3411.124
240,3011.32
241,2759.9033
242,2028.4423
243,1389.4454
244,753.1192
245,490.33734
246,408.88092
247,455.98138
248,910.9238
249,2824.9004
250,5587.99
251,6292.1553
252,6298.2847
253,5742.813
254,4940.391
255,4576.8276
256,4830.7686
257,5091.45
258,5021.945
259,5343.034
260,5713.2134
261,6292.8716
262,5904.8228
263,4608.233
264,3491.14
265,3030.1226
266,2860.7432
267,2883.3032
268,2298.9338
269,1542.6322
270,813.65546
271,557.37616
272,447.78793
273,498.6763
274,894.3428
275,2805.8188
276,5539.308
277,6188.46
278,5605.525
279,4950.5923
280,4587.422
281,4937.5254
282,5162.5317
283,5189.4443
284,5425.1655
285,5670.867
286,6194.859
287,5740.699
288,4635.271
289,3580.1692
290,3223.5496
291,3035.6074
292,2597.6418
293,1863.7633
294,1103.2223
295,582.35895
296,340.78842
297,164.31947
298,195.46037
299,649.5503
300,1781.7698
301,2308.668
302,3092.3179
303,3609.416
304,3650.3464
305,4158.863
306,4270.957
307,4338.467
308,4405.3457
309,4374.904
310,4484.816
311,4362.99
312,3800.0037
313,3140.8804
314,2723.7004
315,2799.3574
316,2702.833
317,1914.0018
318,1297.9858
319,736.6204
320,557.6269
321,271.7975
322,240.25464
323,478.24228
324,1172.2197
325,1844.4648
326,2453.719
327,2951.5586
328,3112.163
329,3502.8774
330,3731.1528
331,4064.8052
332,4130.247
333,4121.2856
334,4243.7817
335,4245.086
336,4142.888
337,3397.0354
338,3048.0688
339,2722.0828
340,2289.7717
341,2318.8892
342,1610.0698
343,1626.291
344,1040.8903
345,614.5821
346,-573.5548
347,-697.1062
348,-613.0216
349,-112.57193
350,1732.7566
351,3965.5823
352,3630.3853
353,3913.6033
354,3799.3489
355,3400.666
356,3489.5266
357,3249.2278
358,3601.4343
359,3590.6619
360,3571.7273
361,3800.8916
362,4259.088
363,4951.385
364,4518.449
365,3137.7864
366,2242.1567
367,1526.8558
368,1486.597
369,724.689
370,37.03112
371,669.8581
372,399.5305
373,327.4749
374,133.23817
375,642.2289
376,2475.569
377,4970.804
378,5547.1924
379,5095.2876
380,4824.2573
381,4441.069
382,4640.2534
383,4944.7397
384,4899.5405
385,4864.0127
386,5208.226
387,5652.73
388,6272.452
389,5878.8936
390,4585.0225
391,3323.1216
392,2946.3748
393,2767.516
394,2129.845
395,1386.8684
396,539.6552
397,265.7209
398,207.43506
399,239.58325
400,712.11224
401,2629.493
402,5195.663
403,5756.4795
404,5399.699
405,4947.019
406,4626.024
407,4895.715
408,5104.1904
409,5113.153
410,5423.2896
411,5768.346
412,6396.7993
413,6045.059
414,4716.0513
415,3568.3984
416,3169.364
417,2876.7476
418,2041.2338
419,1395.5848
420,644.6166
421,381.76932
422,299.11795
423,352.17374
424,816.9651
425,2710.761
426,5288.088
427,6025.576
428,5491.8247
429,5063.1357
430,4703.2935
431,5077.4424
432,5326.886
433,5218.2227
434,5522.659
435,5861.0386
436,6508.062
437,6109.887
438,4918.209
439,3758.209
440,3284.8108
441,3118.8652
442,2468.8367
443,1660.6213
444,907.3491
445,644.25104
446,567.7965
447,356.97516
448,756.7019
449,2510.002
450,5170.619
451,6075.7236
452,5539.4478
453,5111.941
454,4824.512
455,5157.55
456,5391.2856
457,5383.948
458,5629.5845
459,5984.271
460,6388.3506
461,5959.309
462,4874.411
463,3806.0793
464,3356.4043
465,3168.505
466,2778.6924
467,2041.2593
468,1357.616
469,876.3298
470,707.967
471,501.3965
472,547.28156
473,1002.38837
474,1958.2457
475,2617.169
476,3543.345
477,3916.5483
478,4036.631
479,4528.615
480,4602.9214
481,4722.642
482,4729.02
483,4796.9175
484,4803.1157
485,4634.446
486,4129.367
487,3446.0198
488,3168.0498
489,3114.0874
490,3003.1394
491,2154.2966
492,1444.3657
493,921.7366
494,570.4299
495,318.09866
496,302.03128
497,650.2508
498,1437.606
499,1859.1685
500,2470.2751
501,3172.3489
502,3507.4705
503,3963.9033
504,4280.235
505,4479.355
506,4458.7417
507,4528.0376
508,4544.277
509,4448.2964
510,3859.8708
511,3460.6035
512,3089.254
513,2611.1765
514,1932.2227
515,1370.932
516,701.1101
517,412.14365
518,330.60712
519,396.39645
520,907.3498
521,2845.6511
522,5302.861
523,6032.7144
524,5419.796
525,4871.0586
526,4462.3613
527,4674.6787
528,4953.708
529,4922.77
530,5230.2427
531,5761.674
532,6322.6836
533,5870.7383
534,4527.4165
535,3374.562
536,2971.079
537,2619.3665
538,2056.213
539,1296.2218
540,875.89886
541,597.98016
542,491.48392
543,584.8254
544,1056.064
545,2967.5696
546,5403.476
547,5960.5283
548,5532.711
549,5067.861
550,4712.7905
551,4947.1226
552,5229.2773
553,5128.606
554,5458.2983
555,5958.7573
556,6512.3887
557,6082.609
558,4836.658
559,3615.6316
560,3181.3452
561,3028.6558
562,2393.6367
563,1566.0419
564,939.8194
565,668.39496
566,616.6061
567,684.013
568,1152.6527
569,3109.3447
570,5640.6616
571,6197.2476
572,5749.8926
573,5134.8955
574,4729.795
575,4994.2314
576,5307.1885
577,5244.3604
578,5556.9927
579,5956.688
580,6511.4883
581,6030.6714
582,4831.016
583,3601.3774
584,3277.6443
585,3279.3132
586,2978.6074
587,2989.102
588,2238.2808
589,1569.8578
590,1516.67
591,945.65674
592,739.39246
593,641.1191
594,651.3209
595,1132.9943
596,3147.3027
597,5619.202
598,6384.676
599,5774.9937
600,5179.1567
601,4817.6826
602,5110.1963
603,5323.288
604,5321.327
605,5632.755
606,5998.968
607,6635.1772
608,6132.2173
609,4898.4307
610,3809.3076
611,3381.056
612,3184.4639
613,2587.7432
614,1777.7374
615,997.661
616,636.8591
617,633.43604
618,666.68756
619,1058.5256
620,2948.9243
621,5555.468
622,6196.887
623,5630.543
624,5213.7085
625,4850.738
626,5180.621
627,5407.3936
628,5450.555
629,5716.7886
630,5998.978
631,6402.653
632,5954.4233
633,4912.5947
634,3856.9226
635,3378.2808
636,3246.596
637,2774.4717
638,2017.8063
639,1355.8418
640,815.12714
641,664.3664
642,467.71985
643,538.4538
644,1020.53723
645,1976.6943
646,2651.3083
647,3453.154
648,3979.816
649,4013.0444
650,4521.0283
651,4643.5205
652,4737.6045
653,4793.776
654,4675.985
655,4683.613
656,4564.555
657,4123.605
658,3487.0266
659,3102.9248
660,3070.5015
661,2996.8804
662,2186.021
663,1510.5801
664,870.0764
665,797.0703
666,397.398
667,399.6107
668,756.21136
669,1481.2042
670,1754.808
671,2486.6914
672,3013.7678
673,3264.6394
674,3268.2827
675,3237.5293
676,3642.3672
677,3638.6008
678,3635.859
679,3914.6968
680,3942.4429
681,4128.026
682,4200.842
683,4318.3394
684,4195.2983
685,4239.169
686,4268.541
687,4187.9634
688,4184.1533
689,3518.7908
690,3452.6414
691,3171.791
692,3272.0227
693,2902.7751
694,2502.3757
695,1746.2106
696,1748.0723
697,1228.022
698,1229.2067
